Name,Liik,RunDate,Run,Class,SDI,SEI,AWMSI,MSI,MPAR,MPFD,ED,MPE,MPS,NumP,MedPS,PSCoV,TLA
62624_clip,kirjur‰hn,16.01.2018 21:58:48,40,All,1.100,0.683,1.723,1.476,568.411,1.325,70.271,2452.828,34.905,9.000,18.016,147.514,314.148
61545_clip,kirjur‰hn,16.01.2018 21:58:48,41,All,0.980,0.609,1.553,1.425,183.514,1.278,59.822,2684.742,44.879,7.000,16.339,159.828,314.152
55754_clip,kirjur‰hn,16.01.2018 21:58:48,42,All,1.154,0.593,1.662,1.714,592.580,1.350,82.176,2581.615,31.416,10.000,13.310,119.966,314.159
55729_clip,kirjur‰hn,16.01.2018 21:58:48,43,All,1.113,0.803,1.884,1.629,155.533,1.284,71.084,3721.825,52.358,6.000,20.641,114.767,314.149
55723_clip,kirjur‰hn,16.01.2018 21:58:49,44,All,0.906,0.825,1.896,1.785,101.500,1.281,66.726,5240.459,78.537,4.000,80.919,77.881,314.147
36870_clip,kirjur‰hn,16.01.2018 21:58:49,45,All,1.786,0.859,1.588,1.530,258.070,1.291,86.929,2730.779,31.414,10.000,20.035,84.304,314.139
133537_clip,kirjur‰hn,16.01.2018 21:58:49,46,All,1.354,0.841,1.701,1.479,158.114,1.272,72.553,3255.647,44.873,7.000,37.447,93.024,314.110
127014_clip,kirjur‰hn,16.01.2018 21:58:49,47,All,1.706,0.876,1.690,1.541,96.400,1.264,80.285,3603.017,44.878,7.000,33.041,69.532,314.147
127013_clip,kirjur‰hn,16.01.2018 21:58:50,48,All,1.260,0.703,1.606,1.902,145.050,1.301,74.758,3914.200,52.358,6.000,29.926,119.874,314.150
127012_clip,kirjur‰hn,16.01.2018 21:58:50,49,All,1.470,0.820,1.583,1.521,157.613,1.278,75.026,2946.157,39.269,8.000,17.667,107.633,314.150
126550_clip,kirjur‰hn,16.01.2018 21:58:50,50,All,1.239,0.691,1.783,1.535,176.125,1.286,73.834,2899.376,39.269,8.000,9.285,136.003,314.150
